LastName,Region,Ethnicity,pred_1,pred_1_score,pred_2,pred_2_score
kpegba,Togo,Black,Black,1.0,N/A,-1.0
kpidi,Ivory Coast,Black,Black,0.5,White,0.5
kraaier,Netherlands,White,White,1.0,N/A,-1.0
kraak,Netherlands,White,White,0.8,Asian,0.1
kraas,South Africa,Black,White,0.8,Hispanic,0.2
kraatz,Switzerland,White,White,0.9,Hispanic,0.1
krab,Denmark,White,White,1.0,N/A,-1.0
krachmarov,Bulgaria,White,White,0.8,Hispanic,0.1
kraemer,Finland,White,White,0.6,Hispanic,0.3
kraft,Denmark,White,White,0.8,Asian,0.2
krage,Denmark,White,White,1.0,N/A,-1.0
kragelj,Slovenia,White,White,1.0,N/A,-1.0
kragh,Denmark,White,White,1.0,N/A,-1.0
krahe,Brazil,Hispanic,White,0.9,Black,0.1
krainer,Austria,White,White,0.9,Hispanic,0.1
krainz,Austria,White,White,1.0,N/A,-1.0
kraj,Czech Republic,White,White,1.0,N/A,-1.0
krajewski,Poland,White,White,0.9,Hispanic,0.1
krajek,Czech Republic,White,White,0.6,Black,0.2
krajmer,Czech Republic,White,White,1.0,N/A,-1.0
krakovetsky,Kyrgyzstan,White,White,1.0,N/A,-1.0
krakoviak,Lithuania,White,White,1.0,N/A,-1.0
krl,Czech Republic,White,White,1.0,N/A,-1.0
krl,Poland,White,White,1.0,N/A,-1.0
kr,Czech Republic,White,White,0.8,Black,0.1
kr,Slovakia,White,White,0.8,Black,0.1
kralj,Slovenia,White,White,0.9,Hispanic,0.1
kralj,Serbia,White,White,0.9,Hispanic,0.1
kram,Algeria,White,White,0.7,Asian,0.1
krama,Algeria,White,White,1.0,N/A,-1.0
kramarenko,Kyrgyzstan,White,White,0.7,Hispanic,0.1
kramarenko,Russia,White,White,0.7,Hispanic,0.1
kramarenko,Ukraine,White,White,0.7,Hispanic,0.1
kramer,Netherlands,White,Hispanic,0.5,White,0.2
kramer,Poland,White,Hispanic,0.5,White,0.2
kramer,Austria,White,Hispanic,0.5,White,0.2
krammer,Austria,White,Hispanic,0.4,Asian,0.4
kramos,Greece,White,White,1.0,N/A,-1.0
kramsztyk,Poland,White,White,1.0,N/A,-1.0
paval,Denmark,White,White,1.0,N/A,-1.0
paval,Romania,White,White,1.0,N/A,-1.0
kranenberg,Netherlands,White,White,1.0,N/A,-1.0
kranis,Greece,White,White,0.9,Hispanic,0.1
kranjc,Slovenia,White,White,1.0,N/A,-1.0
kranjec,Slovenia,White,White,1.0,N/A,-1.0
krantz,Sweden,White,White,0.5,Black,0.3
kranz,Guam,Hispanic,White,0.7,Hispanic,0.1
krapf,Austria,White,White,1.0,N/A,-1.0
krapi,Croatia,White,White,1.0,N/A,-1.0
krapivina,Russia,White,White,1.0,N/A,-1.0
krarup,Denmark,White,White,0.9,Asian,0.1
krsa,Czech Republic,White,White,0.9,Asian,0.1
krasavin,Russia,White,White,1.0,N/A,-1.0
krasi,Serbia,White,White,0.8,Hispanic,0.1
krasilnikov,Russia,White,White,1.0,N/A,-1.0
krasilnikova,Kazakhstan,White,White,1.0,N/A,-1.0
krasilov,Kazakhstan,White,White,1.0,N/A,-1.0
krasilov,Czech Republic,White,White,1.0,N/A,-1.0
krasiuk,Russia,White,White,1.0,N/A,-1.0
kraska,Poland,White,White,0.9,Hispanic,0.1
krasko,Belarus,White,White,1.0,N/A,-1.0
kraskowski,Poland,White,White,0.8,Hispanic,0.2
krasnianska,Ukraine,White,White,1.0,N/A,-1.0
krasnikova,Russia,White,White,1.0,N/A,-1.0
krasnopolski,Israel,White,White,1.0,N/A,-1.0
krasnoshlyk,Ukraine,White,White,0.8,Asian,0.2
krasnov,Russia,White,White,1.0,N/A,-1.0
krasnov,Israel,White,White,1.0,N/A,-1.0
krasnova,Russia,White,White,1.0,N/A,-1.0
krasnykh,Russia,White,White,1.0,N/A,-1.0
krasovskis,Russia,White,White,0.7,Black,0.2
krasovskiy,Ukraine,White,White,1.0,N/A,-1.0
krasowska,Poland,White,White,1.0,N/A,-1.0
krasser,Austria,White,White,1.0,N/A,-1.0
krassnig,Austria,White,White,1.0,N/A,-1.0
krastanov,Bulgaria,White,White,1.0,N/A,-1.0
krastev,Bulgaria,White,White,1.0,N/A,-1.0
turlakov,Bulgaria,White,White,1.0,N/A,-1.0
krasteva,Bulgaria,White,White,1.0,N/A,-1.0
krasucki,Brazil,Hispanic,White,0.8,Asian,0.1
kratochwil,Austria,White,White,0.7,Asian,0.3
kratohvil,Serbia,White,White,1.0,N/A,-1.0
kratysh,Israel,White,White,0.9,Hispanic,0.1
kratz,Netherlands,White,White,0.9,Hispanic,0.1
kraupp,Sweden,White,White,0.9,Hispanic,0.1
kraus,Czech Republic,White,White,0.7,Asian,0.2
kraus,Switzerland,White,White,0.7,Asian,0.2
krausbar,Austria,White,White,0.9,Black,0.1
krause,Austria,White,White,0.4,Hispanic,0.4
krause,Poland,White,White,0.4,Hispanic,0.4
krause,Argentina,Hispanic,White,0.4,Hispanic,0.4
krausz,Hungary,White,White,0.8,Hispanic,0.2
krauz,Israel,White,White,1.0,N/A,-1.0
kravarik,Greece,White,White,1.0,N/A,-1.0
kravchenko,Russia,White,Hispanic,0.4,White,0.4
kravchenko,Belarus,White,Hispanic,0.4,White,0.4
kravchenko,Ukraine,White,Hispanic,0.4,White,0.4
kravchenko,Israel,White,Hispanic,0.4,White,0.4
kravchenko,Kazakhstan,White,Hispanic,0.4,White,0.4
kravchuk,Russia,White,White,0.7,Hispanic,0.3
kravchuk,Ukraine,White,White,0.7,Hispanic,0.3
kravets,Ukraine,White,White,1.0,N/A,-1.0
kravtsov,Russia,White,White,0.6,Asian,0.3
kravtsov,Belarus,White,White,0.6,Asian,0.3
kravtsova,Belarus,White,White,1.0,N/A,-1.0
krawcewicz,Poland,White,White,1.0,N/A,-1.0
krawczuk,Poland,White,White,1.0,N/A,-1.0
krawczyk,Poland,White,White,0.8,Hispanic,0.1
kraychev,Bulgaria,White,White,0.9,Hispanic,0.1
kraytor,Russia,White,White,0.8,Asian,0.2
krbec,Czech Republic,White,White,0.9,Hispanic,0.1
krm,Slovakia,White,White,0.5,Asian,0.2
krm,Czech Republic,White,White,0.5,Asian,0.2
krebitz,Austria,White,White,1.0,N/A,-1.0
krebs,Denmark,White,White,0.7,Asian,0.2
krebs,Switzerland,White,White,0.7,Asian,0.2
krebs,Hungary,White,White,0.7,Asian,0.2
krech,Kazakhstan,White,White,0.9,Hispanic,0.1
krecke,Luxembourg,White,White,0.9,Asian,0.1
krecl,Czech Republic,White,White,0.7,Black,0.1
kreczmer,Poland,White,White,1.0,N/A,-1.0
krediet,Netherlands,White,White,0.8,Asian,0.1
kreen,Estonia,White,White,0.9,Hispanic,0.1
krefting,Norway,White,White,0.6,Hispanic,0.3
kreil,Austria,White,White,0.9,Hispanic,0.1
kreiner,Austria,White,White,0.6,Hispanic,0.3
kreisinger,Czech Republic,White,White,0.9,Asian,0.1
kreitz,Belgium,White,White,0.8,Asian,0.1
krejberg,Denmark,White,White,0.8,Hispanic,0.2
krej,Czech Republic,White,White,1.0,N/A,-1.0
krejci,Austria,White,White,1.0,N/A,-1.0
krejov,Czech Republic,White,White,0.9,Black,0.1
krejner,Poland,White,White,1.0,N/A,-1.0
krekels,Netherlands,White,White,0.9,Asian,0.1
kremer,Luxembourg,White,White,0.5,Hispanic,0.3
krempels,Hungary,White,White,1.0,N/A,-1.0
krenauer,Austria,White,White,0.8,Hispanic,0.2
krenchel,Denmark,White,White,1.0,N/A,-1.0
krenick,Czech Republic,White,White,0.7,Asian,0.2
krenn,Austria,White,White,0.9,Hispanic,0.1
krepuska,Hungary,White,White,1.0,N/A,-1.0
kress,Belarus,White,White,0.7,Black,0.1
buccicardi,Chile,Hispanic,Hispanic,0.6,White,0.3
kreutzfeldt,Denmark,White,White,0.6,Asian,0.3
kreuzer,Switzerland,White,White,0.8,Hispanic,0.1
kreuziger,Czech Republic,White,White,0.9,Hispanic,0.1
krevs,Serbia,White,White,1.0,N/A,-1.0
kreyer,Russia,White,White,1.0,N/A,-1.0
kika,Czech Republic,White,Asian,0.8,Black,0.2
kriechbaum,Austria,White,White,0.9,Hispanic,0.1
kriege,Netherlands,White,White,1.0,N/A,-1.0
krieger,Austria,White,Hispanic,0.5,Asian,0.3
krieger,Poland,White,Hispanic,0.5,Asian,0.3
krieger,Brazil,Hispanic,Hispanic,0.5,Asian,0.3
kriel,South Africa,Black,White,0.4,Black,0.3
krier,Luxembourg,White,White,0.8,Hispanic,0.1
krievs,Latvia,White,White,1.0,N/A,-1.0
krijgh,Netherlands,White,White,0.9,Asian,0.1
krijgsman,Netherlands,White,White,0.9,Hispanic,0.1
krijtenburg,Netherlands,White,White,1.0,N/A,-1.0
krikis,Russia,White,White,1.0,N/A,-1.0
krikun,Russia,White,White,1.0,N/A,-1.0
krimbacher,Austria,White,White,0.9,Hispanic,0.1
kringen,Norway,White,White,0.9,Hispanic,0.1
krings,Austria,White,White,0.7,Hispanic,0.3
krips,Curacao,Hispanic,White,0.7,Hispanic,0.1
krischan,Austria,White,White,0.9,Asian,0.1
krishna,Fiji,Asian,Asian,0.7,Black,0.2
krishnan,India,Asian,White,0.4,Hispanic,0.3
krishnan,Malaysia,Asian,White,0.4,Hispanic,0.3
krishnasamy,Malaysia,Asian,Asian,0.8,White,0.1
krispel,Austria,White,White,1.0,N/A,-1.0
kriss,Russia,White,White,0.6,Black,0.2
krissanasuwan,Thailand,Asian,White,0.5,Asian,0.4
kristan,Serbia,White,White,1.0,N/A,-1.0
kristan,Slovenia,White,White,1.0,N/A,-1.0
kristani,Serbia,White,White,0.4,Asian,0.4
kristensen,Denmark,White,White,0.8,Asian,0.2
kristiansen,Norway,White,White,1.0,N/A,-1.0
kristiansen,Denmark,White,White,1.0,N/A,-1.0
kristijan,Serbia,White,White,0.9,Hispanic,0.1
kristo,Romania,White,White,1.0,N/A,-1.0
kristoff,Norway,White,White,0.5,Asian,0.3
kristoffersen,Norway,White,White,1.0,N/A,-1.0
kristoffersen,Denmark,White,White,1.0,N/A,-1.0
kristoffersson,Sweden,White,White,1.0,N/A,-1.0
kriston,Hungary,White,White,0.8,Asian,0.1
krisztina,Hungary,White,White,0.9,Asian,0.1
kritikos,Greece,White,White,0.9,Hispanic,0.1
krittakom,Thailand,Asian,Asian,0.7,White,0.2
krivelyova,Russia,White,White,0.8,Asian,0.2
kriventsov,Belarus,White,White,1.0,N/A,-1.0
krivitsky,Belarus,White,White,1.0,N/A,-1.0
krivokapi,Serbia,White,White,0.9,Black,0.1
krivonosov,Russia,White,White,1.0,N/A,-1.0
krivoshey,Russia,White,White,1.0,N/A,-1.0
krivosheyev,Russia,White,White,1.0,N/A,-1.0
krivosheyeva,Russia,White,White,1.0,N/A,-1.0
krivoshlykov,Russia,White,White,1.0,N/A,-1.0
krivov,Russia,White,White,1.0,N/A,-1.0
krivtsov,Ukraine,White,White,0.9,Asian,0.1
krivtsov,Russia,White,White,0.9,Asian,0.1
krivushkin,Kazakhstan,White,White,1.0,N/A,-1.0
kriz,Austria,White,White,0.9,Hispanic,0.1
krian,Slovakia,White,Asian,0.7,White,0.3
krian,Slovenia,White,Asian,0.7,White,0.3
krizhevsky,Russia,White,White,0.6,Hispanic,0.2
kriko,Slovakia,White,White,1.0,N/A,-1.0
krmelj,Serbia,White,White,0.9,Black,0.1
kroes,Netherlands,White,White,1.0,N/A,-1.0
kroesen,Netherlands,White,White,0.6,Hispanic,0.3
krof,Czech Republic,White,White,0.9,Hispanic,0.1
krog,Norway,White,White,1.0,N/A,-1.0
kroge,Norway,White,White,0.8,Asian,0.1
krogius,Finland,White,White,1.0,N/A,-1.0
krogner,Denmark,White,White,0.9,Hispanic,0.1
krogsgaard,Denmark,White,White,1.0,N/A,-1.0
krohn,Sweden,White,White,0.8,Hispanic,0.1
krojer,Austria,White,Hispanic,0.5,Asian,0.3
krokhina,Russia,White,White,1.0,N/A,-1.0
krokstad,Norway,White,White,0.7,Hispanic,0.2
krol,Netherlands,White,White,0.9,Asian,0.1
krol,Czech Republic,White,White,0.9,Asian,0.1
krom,Netherlands,White,White,1.0,N/A,-1.0
kromah,Liberia,Black,Black,0.4,White,0.4
krombach,Luxembourg,White,White,0.9,Hispanic,0.1
krombholz,Austria,White,White,0.9,Hispanic,0.1
krombholz,Czech Republic,White,White,0.9,Hispanic,0.1
krommydas,Greece,White,White,1.0,N/A,-1.0
kromp,Austria,White,White,1.0,N/A,-1.0
kronberg,Sweden,White,White,0.6,Asian,0.3
kronberger,Austria,White,White,1.0,N/A,-1.0
kronbichler,Austria,White,White,0.7,Hispanic,0.2
kroner,Romania,White,White,0.9,Hispanic,0.1
kronig,Switzerland,White,White,0.9,Black,0.1
kronis,Greece,White,White,0.9,Black,0.1
kronlund,Sweden,White,White,1.0,N/A,-1.0
kronthaler,Austria,White,White,0.9,Hispanic,0.1
krook,Sweden,White,White,0.9,Asian,0.1
kroon,Netherlands,White,White,0.8,Asian,0.2
kroon,Curacao,Hispanic,White,0.8,Asian,0.2
kropman,Netherlands,White,White,0.8,Black,0.1
kropp,Poland,White,White,0.8,Hispanic,0.1
krotov,Russia,White,White,1.0,N/A,-1.0
kroutil,Czech Republic,White,White,1.0,N/A,-1.0
krovopuskov,Russia,White,White,1.0,N/A,-1.0
kroyter,Israel,White,White,0.9,Hispanic,0.1
krsti,Serbia,White,White,1.0,N/A,-1.0
kruckenberg,Sweden,White,White,0.9,Hispanic,0.1
kruczek,Poland,White,White,1.0,N/A,-1.0
krug,Netherlands,White,White,0.6,Hispanic,0.4
kruger,Zimbabwe,White,Hispanic,0.6,White,0.4
kruger,South Africa,Black,Hispanic,0.6,White,0.4
kruger,Finland,White,Hispanic,0.6,White,0.4
krger,Luxembourg,White,White,0.6,Hispanic,0.3
krger,Poland,White,White,0.6,Hispanic,0.3
krger,Sweden,White,White,0.6,Hispanic,0.3
krger,Switzerland,White,White,0.6,Hispanic,0.3
kruglov,Russia,White,White,1.0,N/A,-1.0
kruglova,Russia,White,White,1.0,N/A,-1.0
kruhliak,Ukraine,White,White,1.0,N/A,-1.0
kruijswijk,Netherlands,White,White,1.0,N/A,-1.0
kruijt,Netherlands,White,White,1.0,N/A,-1.0
kruize,Netherlands,White,White,0.9,Hispanic,0.1
kruk,Ukraine,White,White,0.9,Hispanic,0.1
kruk,Netherlands,White,White,0.9,Hispanic,0.1
krukov,Kazakhstan,White,White,1.0,N/A,-1.0
krukowski,Poland,White,White,1.0,N/A,-1.0
gogh,Netherlands,White,White,0.9,Asian,0.1
krumov,Bulgaria,White,White,1.0,N/A,-1.0
krumpschmid,Austria,White,White,1.0,N/A,-1.0
krupa,Poland,White,White,0.6,Hispanic,0.4
krupalija,Bosnia and Herzegovina,White,White,1.0,N/A,-1.0
krupko,Russia,White,White,1.0,N/A,-1.0
krupnyk,Ukraine,White,White,1.0,N/A,-1.0
kru,Poland,White,White,0.6,Hispanic,0.3
kruse,Denmark,White,White,0.5,Hispanic,0.3
kruse,Argentina,Hispanic,White,0.5,Hispanic,0.3
kruse,Sweden,White,White,0.5,Hispanic,0.3
krutikov,Russia,White,White,1.0,N/A,-1.0
krutov,Russia,White,White,1.0,N/A,-1.0
krutskikh,Russia,White,White,1.0,N/A,-1.0
krutzler,Hungary,White,White,0.9,Hispanic,0.1
kruus,Russia,White,White,1.0,N/A,-1.0
kruusenberg,Estonia,White,White,1.0,N/A,-1.0
kruuv,Estonia,White,White,0.8,Black,0.1
kruyt,Netherlands,White,White,1.0,N/A,-1.0
kruz,Czech Republic,White,White,0.9,Hispanic,0.1
kruel,Slovakia,White,Hispanic,0.8,White,0.2
kruzhilov,Belarus,White,White,0.9,Hispanic,0.1
kryanin,Russia,White,White,1.0,N/A,-1.0
kryazhev,Kazakhstan,White,White,1.0,N/A,-1.0
kryeziu,Kosovo,White,White,1.0,N/A,-1.0
krygier,Poland,White,White,0.9,Hispanic,0.1
krygina,Kazakhstan,White,White,1.0,N/A,-1.0
krykun,Ukraine,White,White,0.9,Asian,0.1
krylov,Russia,White,White,1.0,N/A,-1.0
krylova,Russia,White,White,1.0,N/A,-1.0
kryn,Belgium,White,White,0.8,Black,0.1
kryski,Poland,White,White,1.0,N/A,-1.0
krysin,Russia,White,White,1.0,N/A,-1.0
krysta,Czech Republic,White,White,1.0,N/A,-1.0
kryuchkin,Russia,White,White,1.0,N/A,-1.0
kryuchkov,Russia,White,White,1.0,N/A,-1.0
kryuchkova,Russia,White,White,1.0,N/A,-1.0
kryukov,Russia,White,White,1.0,N/A,-1.0
kryukova,Kazakhstan,White,White,1.0,N/A,-1.0
kryvobok,Ukraine,White,White,1.0,N/A,-1.0
kryvonosova,Ukraine,White,White,0.9,Asian,0.1
kryvosheiev,Russia,White,White,0.9,Asian,0.1
kryvov,Russia,White,White,1.0,N/A,-1.0
kryvytska,Ukraine,White,White,1.0,N/A,-1.0
krzemiski,Poland,White,White,0.7,Asian,0.2
krzesiak,Poland,White,White,0.7,Black,0.2
krzeszewski,Poland,White,White,1.0,N/A,-1.0
krzewina,Poland,White,White,1.0,N/A,-1.0
kri,Croatia,White,Hispanic,0.4,Asian,0.3
krzysztofiak,Poland,White,White,0.7,Hispanic,0.3
krzyanowski,Poland,White,White,0.9,Asian,0.1
ksouri,Tunisia,White,White,1.0,N/A,-1.0
kszczot,Poland,White,White,1.0,N/A,-1.0
lubin,China,Asian,White,0.7,Hispanic,0.2
kuba,Czech Republic,White,White,0.9,Asian,0.1
kubacki,Poland,White,White,1.0,N/A,-1.0
kubaczyk,Poland,White,White,0.9,Black,0.1
kubala,Austria,White,White,0.9,Hispanic,0.1
kubala,Czech Republic,White,White,0.9,Hispanic,0.1
kubec,Czech Republic,White,White,1.0,N/A,-1.0
kubiak,Poland,White,White,1.0,N/A,-1.0
kubica,Slovakia,White,White,1.0,N/A,-1.0
kubica,Poland,White,White,1.0,N/A,-1.0
kubek,Czech Republic,White,White,1.0,N/A,-1.0
kubka,Czech Republic,White,White,1.0,N/A,-1.0
kubka,Poland,White,White,1.0,N/A,-1.0
kubicki,Poland,White,White,1.0,N/A,-1.0
kubik,Austria,White,White,0.8,Hispanic,0.1
kubik,Poland,White,White,0.8,Hispanic,0.1
kubina,Czech Republic,White,White,1.0,N/A,-1.0
kubinyi,Hungary,White,White,0.9,Hispanic,0.1
kubisa,Botswana,Black,White,1.0,N/A,-1.0
kubista,Czech Republic,White,White,0.9,Asian,0.1
kubita,Czech Republic,White,White,0.6,Hispanic,0.2
kubitschek,Austria,White,White,0.8,Black,0.1
kubo,Japan,Asian,Asian,0.9,Hispanic,0.1
kuboki,Japan,Asian,Asian,0.8,Black,0.1
kubokura,Japan,Asian,Asian,1.0,N/A,-1.0
kubomura,Japan,Asian,Asian,0.9,Black,0.1
kuborn,Luxembourg,White,White,0.9,Hispanic,0.1
kubot,Poland,White,White,0.9,Hispanic,0.1
kubota,Japan,Asian,Hispanic,0.6,White,0.2
kubrakov,Russia,White,White,1.0,N/A,-1.0
kubrina,Kazakhstan,White,White,1.0,N/A,-1.0
kubrycht,Czech Republic,White,White,1.0,N/A,-1.0
ku,Poland,White,Asian,0.7,White,0.3
ku,Serbia,White,Asian,0.7,White,0.3
ku,Montenegro,White,Asian,0.7,White,0.3
kucej,Czech Republic,White,White,0.6,Black,0.2
kucej,Slovakia,White,White,0.6,Black,0.2
kuek,Czech Republic,White,Asian,1.0,N/A,-1.0
kuchar,Poland,White,White,0.9,Asian,0.1
kucharczyk,Poland,White,White,0.9,Hispanic,0.1
kucharik,Hungary,White,White,1.0,N/A,-1.0
kucharski,Poland,White,White,1.0,N/A,-1.0
kucharzewska,Poland,White,White,1.0,N/A,-1.0
kuchen,Switzerland,White,White,0.9,Asian,0.1
kucherov,Russia,White,White,1.0,N/A,-1.0
kucheryanu,Russia,White,White,1.0,N/A,-1.0
kuchinsky,Belarus,White,White,0.8,Hispanic,0.2
kuchkarova,Uzbekistan,White,White,1.0,N/A,-1.0
kchler,Switzerland,White,White,0.8,Black,0.2
kuchmasov,Belarus,White,White,1.0,N/A,-1.0
kuchta,Poland,White,White,1.0,N/A,-1.0
kuchurin,Russia,White,White,1.0,N/A,-1.0
kurek,Czech Republic,White,White,0.9,Hispanic,0.1
kurek,Poland,White,White,0.9,Hispanic,0.1
kucsera,Hungary,White,White,0.9,Hispanic,0.1
kucsera,Czech Republic,White,White,0.9,Hispanic,0.1
kk,Turkey,White,White,0.9,Asian,0.1
kuczko,Poland,White,White,1.0,N/A,-1.0
kuczkowska,Poland,White,White,1.0,N/A,-1.0
kudaisi,Nigeria,Black,White,0.9,Black,0.1
kudashov,Russia,White,White,1.0,N/A,-1.0
kudelich,Belarus,White,White,0.9,Asian,0.1
kudelski,Poland,White,White,1.0,N/A,-1.0
kudinov,Russia,White,White,1.0,N/A,-1.0
kudinov,Kazakhstan,White,White,1.0,N/A,-1.0
kudinova,Kazakhstan,White,White,1.0,N/A,-1.0
kudis,Russia,White,White,1.0,N/A,-1.0
kudlik,Poland,White,White,1.0,N/A,-1.0
kudo,Japan,Asian,Asian,1.0,N/A,-1.0
kudra,Poland,White,White,1.0,N/A,-1.0
kudrevich,Belarus,White,White,1.0,N/A,-1.0
kudriashov,Ukraine,White,White,1.0,N/A,-1.0
kudrna,Czech Republic,White,White,0.9,Hispanic,0.1
kudryashova,Belarus,White,White,0.9,Hispanic,0.1
kudryavtsev,Russia,White,White,0.6,Asian,0.2
kudryavtseva,Russia,White,White,1.0,N/A,-1.0
kudzia,Poland,White,White,1.0,N/A,-1.0
kuda,Poland,White,White,0.7,Asian,0.3
kuerten,Brazil,Hispanic,White,0.9,Hispanic,0.1
gripa,Brazil,Hispanic,Hispanic,0.5,White,0.4
